Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,lon,lat,Cuisines,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Sky Grill,1,Noida,"2nd Floor, Tulip Mall, Sector 48, Noida","Tulip Mall, Sector 48, Noida","Tulip Mall, Sector 48, Noida, Noida",77.3675243,28.5575368,"North Indian, Chinese",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,34
Duke's Waikiki,216,Rest of Hawaii,"2335 Kalakaua Ave, Honolulu, HI 96815",Waikiki,"Waikiki, Rest of Hawaii",-157.827196,21.277583,"Hawaiian, Seafood, Steak",70,Dollar($),No,No,No,No,4,4.4,Green,Very Good,1492
Shree Shyam Rasoi,1,Gurgaon,"Opposite Power House, Palam Vihar Road, Palam Vihar, Gurgaon",Palam Vihar,"Palam Vihar, Gurgaon",77.0336712,28.5034359,North Indian,350,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,12
Graze,216,Cedar Rapids/Iowa City,"115 East College St, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",-91.534302,41.658691,"American, International, Sushi",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,220
Punjabi Mirch,1,New Delhi,"D-35, Acharya Niketan, Near Kukreja Hospital, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.2952184,28.6074925,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average,4
Thai Garden,216,Dalton,"685 Battlefield Pkwy, Fort Oglethorpe, GA 30742",Fort Oglethorpe,"Fort Oglethorpe, Dalton",-85.2545,34.9546,Thai,25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,111
Backstreet Kitchen,1,Noida,"12-A, Near Community Centre, Sector 104, Near, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.36520298,28.53920932,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,33
Chai Mantra,1,New Delhi,"Shop 8, Ground Floor, DLF Tower B, Jasola District Center, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.2899644,28.538238500000002,"Fast Food, Beverages",200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3
Latenight.in,1,Gurgaon,"147, Sector 31, Gurgaon",Sector 31,"Sector 31, Gurgaon",77.04479218,28.45232201,"North Indian, Biryani, Chinese",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.0,Orange,Average,8
Kebab Gali,1,New Delhi,"G-39, Ground Floor, Vasant Square Mall, Vasant Kunj, New Delhi","Vasant Square Mall, Vasant Kunj","Vasant Square Mall, Vasant Kunj, New Delhi",77.15666440000001,28.525059999999996,"North Indian, Mughlai, Biryani",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,380
Bikaner Sweets Snacks & Restaurant,1,Gurgaon,"Huda Market, Near Vipul Motors & Siemens Company Sector 17, Gurgaon",Sector 17,"Sector 17, Gurgaon",77.06710059999999,28.490620299999996,"Bakery, Chinese, North Indian",250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
DBDN Deena Meat Vala,1,Gurgaon,"Shop 105, Old Jail Market, Shivaji Nagar, Old Gurgaon, Sector 11, Near Sector 37, Gurgaon",Old Railway Road,"Old Railway Road, Gurgaon",77.026849,28.456987199999997,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,5
Burger King,1,New Delhi,"1st Floor, Plot C-1, 2 & 3, PP Towers, Netaji Subhash Place, New Delhi",Netaji Subhash Place,"Netaji Subhash Place, New Delhi",77.151707,28.6930828,"Burger, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,426
Mehfil,1,New Delhi,"A-188, Main Road, Timber Market, Sukhdev Market, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",77.2284355,28.5740102,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,2.4,Red,Poor,35
White X Sky Lounge,1,Nashik,"4th Floor, B Wing, Bosco Center, Prasad Circle, Gangapur Road, College Road, Nashik",College Road,"College Road, Nashik",0.0,0.0,North Indian,800,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average,24
Senorita's,1,New Delhi,"Pankaj Tower, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.29052990000001,28.606839899999997,Mexican,300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3
Chinese Corner,1,New Delhi,"Main Market, Ghitorni, MG Road, New Delhi",MG Road,"MG Road, New Delhi",77.1451213,28.4940831,Chinese,150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Konomi - Trident Gurgaon,1,Gurgaon,"Trident, 443, Phase 5, Udyog Vihar, Gurgaon","Trident, Udyog Vihar","Trident, Udyog Vihar, Gurgaon",77.0867995,28.5022869,Japanese,3000,Indian Rupees(Rs.),No,No,No,No,4,3.5,Yellow,Good,27
Druk,1,New Delhi,"77, Humayunpur, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.19417427,28.5618126,"Tibetan, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,53
Angelena Restaurant,1,New Delhi,"D 490, West Vinod Nagar, Pandav Nagar, New Delhi",Pandav Nagar,"Pandav Nagar, New Delhi",77.2847393,28.6213874,"North Indian, Chinese",350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Giani's,1,New Delhi,"Near 3, Kalkaji Main Road, Block F, Kalkaji, New Delhi",Kalkaji,"Kalkaji, New Delhi",77.253107,28.542481,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,80
The Tongue Twister,1,Gurgaon,"Opposite G D Goenka University, Sohna Road, Gurgaon",Sohna Road,"Sohna Road, Gurgaon",77.067268,28.266839,"Chinese, North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,40
Papa Chinese Veg Food,1,New Delhi,"B-12/5, Opposite CRPF School, Prashant Vihar, New Delhi",Prashant Vihar,"Prashant Vihar, New Delhi",77.1333485,28.710608399999998,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,12
Subway,1,Noida,"C Block, Logic Cyber Park, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.36649279999999,28.6129026,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.4,Red,Poor,88
The Big Scoop,1,Ghaziabad,"C 17, 1st Floor, Patparganj Industrial Area, Kaushambi, Ghaziabad",Kaushambi,"Kaushambi, Ghaziabad",77.31069862,28.6411332,Ice Cream,250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Punjabi Rasoi,1,Faridabad,"1, Deepak Complex, Eros Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad",77.29243100000001,28.4923251,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Dill's Chawla Chik Inn,1,New Delhi,"1, Panchseel Enclave Market, Panchsheel Park, New Delhi",Panchsheel Park,"Panchsheel Park, New Delhi",77.2301503,28.543917999999998,"North Indian, Mughlai",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,66
Soya Bite's,1,New Delhi,"9, Roshan Garden, Main Tura Mandi Chowk, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",76.9909279,28.6124522,North Indian,350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Cafe Punjabi,1,New Delhi,"GF-47, Plot 7, TDI Center, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.2872342,28.537323600000004,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,33
Mamagoto,1,Noida,"D-423, 3rd Floor, DLF Mall of India, Sector 18, Noida","DLF Mall of India, Sector 18,  Noida","DLF Mall of India, Sector 18,  Noida, Noida",77.3204748,28.56648549,"Asian, Thai, Chinese",1600,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.3,Green,Very Good,428
The Grill Room - The Taj Mahal Hotel,1,New Delhi,"The Taj Mahal Hotel, 1, Mansingh Road, New Delhi","The Taj Mahal Hotel, Mansingh Road","The Taj Mahal Hotel, Mansingh Road, New Delhi",77.2241228,28.605153499999997,"Mediterranean, European",5000,Indian Rupees(Rs.),No,No,No,No,4,3.1,Orange,Average,15
Domino's Pizza,1,New Delhi,"32-33, Grandlays Cinema Complex, New Friends Colony, New Delhi",New Friends Colony,"New Friends Colony, New Delhi",77.2688462,28.561357300000004,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,95
Khyen Chyen,1,Gurgaon,"G 11, DLF Cross Point Mall, Opposite Galleria Market, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4","Cross Point Mall, DLF Phase 4, Gurgaon",77.0832475,28.468374100000005,Kashmiri,800,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.7,Yellow,Good,364
Wah Ji Wah,1,New Delhi,"WZ, 187-A, Main Road, Opposite  Metro Pillar 665, Uttam Nagar, New Delhi",Uttam Nagar,"Uttam Nagar, New Delhi",77.0611463,28.623191700000003,North Indian,400,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,Red,Poor,4
Nescafe,1,New Delhi,"M-51, M Block Market, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.2352165,28.550229100000003,"Fast Food, Beverages",200,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,36
Kailash Vaishno Dhaba,1,New Delhi,"Block 8/112, Geeta Colony, New Delhi",Geeta Colony,"Geeta Colony, New Delhi",77.2705947,28.656203,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Subway,1,Gurgaon,"J-1, Qutab Plaza, DLF Phase 1, Gurgaon","Qutab Plaza, DLF Phase 1","Qutab Plaza, DLF Phase 1, Gurgaon",77.1024003,28.4715582,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,92
Cafe Al Fresco by Cantina Bodega,1,Goa,"Sunaparanta Centre For The Arts, Altinho, Panaji, Goa",Panaji,"Panaji, Goa",73.827423,15.49395,Cafe,800,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,265
Jonathan's Kitchen - Holiday Inn Express & Suites,1,Hyderabad,"Holiday Inn Express & Suites, Gachibowli, Hyderabad",Holiday Inn Express & Suites,"Holiday Inn Express & Suites, Hyderabad",78.3475536,17.424114000000003,"North Indian, Japanese, Italian",1900,Indian Rupees(Rs.),Yes,No,No,No,3,4.3,Green,Very Good,860
Rocket Food,1,Noida,"Golf Course, Noida",Golf Course,"Golf Course, Noida",77.34516049999999,28.566349699999996,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated,0
Thai Moon Restaurant,216,Cedar Rapids/Iowa City,"4362 16th Ave SW, Cedar Rapids, IA 52404",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",-91.7266,41.9639,"Chinese, Sushi, Thai",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,220
Domino's Pizza,1,New Delhi,"Plot 8, Desh Bandhu Gupta Road, Paharganj, New Delhi",Paharganj,"Paharganj, New Delhi",77.21074697,28.64558376,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,29
Pita Pit,1,New Delhi,"2nd Floor, My Square Food Court, Select Citywalk Mall, Saket, New Delhi","Select Citywalk Mall, Saket","Select Citywalk Mall, Saket, New Delhi",77.21956339,28.52923878,"Healthy Food, Salad",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,217
Shalimar Vyanjan,1,New Delhi,"AJ-64/A, Shalimar Bagh, New Delhi",Shalimar Bagh,"Shalimar Bagh, New Delhi",77.1628082,28.7062081,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
The Altitude Cafe and Deli,1,New Delhi,"116, Meher Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",77.16838359999998,28.5953744,Cafe,600,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,11
Brijwasi Sweet and Namkeen,1,New Delhi,"3/30, Subhash Market, Trilokpuri, New Delhi",Trilokpuri,"Trilokpuri, New Delhi",77.31334833,28.59807667,"Street Food, Mithai",100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Moti Mahal Delux- Legendary Culinary,1,New Delhi,"E-31/32, South Extension 2, New Delhi",South Extension 2,"South Extension 2, New Delhi",77.2195433,28.568233600000003,"North Indian, Mughlai, Chinese",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.6,Yellow,Good,177
Prince Chaat Corner,1,New Delhi,"M-29, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.2362677,28.5494743,Street Food,250,Indian Rupees(Rs.),No,No,No,No,1,3.7,Yellow,Good,84
Global Local,1,Surat,"Western Vesu Point, Near Reliance Market, Vesu, Surat",Vesu,"Vesu, Surat",72.77269729,21.14956883,Modern Indian,1500,Indian Rupees(Rs.),No,No,No,No,4,3.4,Orange,Average,47
Barista,1,Gurgaon,"Ground Floor, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road","MGF Metropolitan Mall, MG Road, Gurgaon",77.0800708,28.480998699999997,Cafe,650,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,39
ZASTY,1,Gurgaon,"Sector 15, Gurgaon",Sector 15,"Sector 15, Gurgaon",0.0,0.0,"Continental, North Indian, Asian",500,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,28
Cream Stone,1,Coimbatore,"Creamstone , 1335, Avinashi Road, Opposite Bharath Petrol Bunk, Peelamedu, Coimbatore","SMS Hotel, Peelamedu","SMS Hotel, Peelamedu, Coimbatore",76.9983492,11.02229761,"Desserts, Ice Cream",300,Indian Rupees(Rs.),No,No,No,No,1,4.3,Green,Very Good,161
Legends Barbeques,1,Noida,"311A, 2nd Floor, Spice World Mall, Sector 25, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",77.341371,28.5862391,"North Indian, Chinese, Mediterranean, Asian, Continental",1300,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,1088
Elf Cafe & Bar,1,New Delhi,"26 A, 2nd Floor, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.19447779999999,28.554283899999998,"Italian, North Indian, Continental",1600,Indian Rupees(Rs.),Yes,No,No,No,3,3.3,Orange,Average,704
Silver,1,Faridabad,"K Hotel, Plot 2, Behind Pristine Mall, Sector 31, Faridabad",K Hotel,"K Hotel, Faridabad",77.316429,28.446715,"North Indian, Chinese, Continental",1500,Indian Rupees(Rs.),Yes,No,No,No,3,0.0,White,Not rated,3
S.R. Bakers,1,New Delhi,"Shop 210, Munirka Village, Munirka, New Delhi",Munirka,"Munirka, New Delhi",77.17181109999999,28.5568164,Bakery,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Open Hand Shop & Cafe,1,Varanasi,"B1/128-3, Dumraun Bagh Colony, Assi Ghat, Varanasi",Assi Ghat,"Assi Ghat, Varanasi",83.004504,25.287958,Cafe,450,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,59
Red Chili Potato,1,New Delhi,"East Park Road, Karol Bagh, New Delhi",Karol Bagh,"Karol Bagh, New Delhi",77.20279790000001,28.65867981,Chinese,150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
L'Angoor,1,Gurgaon,"Lobby Level, Tower C, Global Business Park, MG Road, Gurgaon",MG Road,"MG Road, Gurgaon",77.10207679999999,28.480604100000004,"American, Seafood, Italian, Japanese, Thai",2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.5,Yellow,Good,57
Midnight Delight,1,New Delhi,"Near Sarita Vihar Metro Station, Sarita Vihar, New Delhi",Sarita Vihar,"Sarita Vihar, New Delhi",77.2884321,28.5293671,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,Red,Poor,8
The Garden Terrace - Maidens Hotel,1,New Delhi,"Maidens Hotel, 7, Shamnath Marg, Civil Lines, New Delhi","Maidens Hotel, Civil Lines","Maidens Hotel, Civil Lines, New Delhi",77.2256961,28.673701899999998,"North Indian, Continental",3000,Indian Rupees(Rs.),Yes,No,No,No,4,3.3,Orange,Average,57
Shama Chicken Corner,1,Gurgaon,"Shop 1, Fazilpur Chowk, Near Omaxe City, Sohna Road, Gurgaon",Sohna Road,"Sohna Road, Gurgaon",77.042099,28.4120086,Biryani,500,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,35
Cafe Cravings,1,Gurgaon,"Shop 22, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road","MGF Metropolitan Mall, MG Road, Gurgaon",77.08025740000001,28.481108000000003,"Cafe, Italian",600,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,19
Anjlika Pastry Shop,1,New Delhi,"F-146, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.12276290000001,28.6417517,"Bakery, Desserts, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good,170
Mysore Cafe,1,New Delhi,"12, South Avenue Market, Near Sena Bhawan, India Gate, New Delhi",India Gate,"India Gate, New Delhi",77.20146340000001,28.6083918,South Indian,200,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,12
Nutritious Nation,1,New Delhi,"Shop 2, Ground Floor, Club Road Market, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",77.12559488,28.66624642,"Healthy Food, Continental, Juices, Salad",900,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.6,Yellow,Good,64
Ram Singh's Bhoj,1,New Delhi,"66 A, Khanna Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",77.2205314,28.583474900000002,"Mithai, Street Food",350,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,6
Lily Tasty Fast Food,1,New Delhi,"58, Indra Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2122334,28.7062833,"North Eastern, North Indian, Chinese",150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Chinese Sigdi,1,New Delhi,"E-35, Tagore Garden Extension, Tagore Garden, New Delhi",Tagore Garden,"Tagore Garden, New Delhi",77.11142376,28.6491793,Chinese,250,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average,5
Barista,1,Noida,"Botanical Garden Metro Station, Ground Floor, Sector 38, Noida",Sector 38,"Sector 38, Noida",77.334633,28.5640131,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average,26
BTW,1,New Delhi,"1, Garg Trade Center, Sector 11, Rohini, New Delhi",Rohini,"Rohini, New Delhi",77.1141532,28.7345078,"South Indian, Street Food, Mithai",400,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,75
Al Bake,1,New Delhi,"Shop 7, 57, Manjusha Building, Nehru Place, New Delhi",Nehru Place,"Nehru Place, New Delhi",77.252055,28.548915899999997,"North Indian, Mughlai",400,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,38
Bakers Delight - The Atrium,1,Faridabad,"The Atrium Hotel, Shooting Range Road, Suraj Kund, Faridabad","The Atrium, Suraj Kund","The Atrium, Suraj Kund, Faridabad",77.283011,28.489796000000002,"Bakery, Desserts",700,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average,10
Jugnu Gaming Zone and Cafe,1,New Delhi,"39, Opposite Bharat Petrol Pump, Near Yamuna Sports Complex, Anand Vihar, New Delhi",Anand Vihar,"Anand Vihar, New Delhi",77.31032330000001,28.6578549,"Cafe, North Indian, Fast Food",600,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,4
Bhappe Di Hatti,1,New Delhi,"Main Market, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.0965905,28.638069899999998,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,8
Hussain - UP Ki Mashoor Biryani,1,New Delhi,"Sabzi Mandi, Katwaria Sarai Main Road, Qutab Institutional Area, New Delhi",Qutab Institutional Area,"Qutab Institutional Area, New Delhi",77.1862789,28.5415131,Biryani,150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Friend's Restaurant,1,Noida,"Near Shivalik Hospital, Hoshiyar Pur, Sector 51, Noida",Sector 51,"Sector 51, Noida",77.3688983,28.583971999999996,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated,0
Gopala,1,New Delhi,"Shop 38, C Block Market, Near Mata Mandir, New Friends Colony, New Delhi",New Friends Colony,"New Friends Colony, New Delhi",77.2682086,28.56929078,"Mithai, Street Food",250,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average,7
Exotica,1,Hyderabad,"Opposite Audi Showroom, 5th Floor, 12th Square Building, Road 12, Banjara Hills, Hyderabad","12th Square Building, Banjara Hills","12th Square Building, Banjara Hills, Hyderabad",78.43722526,17.41037066,"Mughlai, North Indian, Chinese",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.3,Green,Very Good,3374
Sree Krishna Udupi,1,New Delhi,"G-1, RG Complex 2, Prashant Vihar, New Delhi",Prashant Vihar,"Prashant Vihar, New Delhi",77.13507890000001,28.7153016,"South Indian, North Indian",250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Malo,216,Des Moines,"900 Mulberry Street, Des Moines, IA 50309",Downtown,"Downtown, Des Moines",-93.62789599999999,41.583309,"Latin American, Mexican",25,Dollar($),No,No,No,No,2,3.2,Orange,Average,113
Karim's,1,New Delhi,"67, Food Court, Moments Mall, Kirti Nagar, New Delhi","Moments Mall, Kirti Nagar","Moments Mall, Kirti Nagar, New Delhi",77.1468835,28.6567624,"North Indian, Mughlai",700,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,79
Anupam Jalpan,1,New Delhi,"Ansari Road, Daryaganj, New Delhi",Daryaganj,"Daryaganj, New Delhi",77.24361359999999,28.6450853,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Wah G Wah,1,New Delhi,"D-1, Fateh Nagar, Vaidic Marg, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.098778,28.631327000000002,"North Indian, Chinese",450,Indian Rupees(Rs.),No,Yes,No,No,1,0.0,White,Not rated,2
Subway,1,Noida,"Plot 7, Block A3, Shramik Kunj, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.38739625,28.53409103,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,No,No,No,2,2.4,Red,Poor,51
Bikanervala,1,New Delhi,"28, NWA Club Road, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",77.1215605,28.66660385,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Mithai",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,129
Shri G,1,Noida,"Khoda Colony, Deepak Vihar, Labour Chowk, Sector 58, Noida",Sector 58,"Sector 58, Noida",77.3533213,28.6100951,North Indian,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Shri Shyam Ji Ke Mashhoor Chhole Bhature,1,Gurgaon,"C Block, Near Fauji Market, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",77.0811311,28.453272600000002,Street Food,200,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,26
Kitchen King,1,New Delhi,"Shop 8, Sector 9 Market, R K Puram, New Delhi",R K Puram,"R K Puram, New Delhi",77.1728257,28.5734538,"North Indian, Chinese",450,Indian Rupees(Rs.),No,Yes,No,No,1,2.6,Orange,Average,53
A Vaishno Bhojnalaya,1,New Delhi,"1, Edward Line, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2039877,28.695273600000004,North Indian,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,29
Satguru Di Hatti,1,New Delhi,"Main Road, Palam Gaon, Palam, New Delhi",Palam,"Palam, New Delhi",77.0811572,28.589965799999998,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,6
Jaiveer Naan & Chaap,1,New Delhi,"Shop 95, Aggarwal City Plaza, Near M2K, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Aggarwal City Plaza, Rohini, New Delhi",77.1176368,28.7004261,"North Indian, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.2,Red,Poor,79
Ram G Snacks & Food Corner,1,New Delhi,"20, GDITL, North X Tower, Netaji Subhash Place, New Delhi",Netaji Subhash Place,"Netaji Subhash Place, New Delhi",77.15233609999999,28.691620899999997,"North Indian, Chinese, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,34
Lost in Frost,1,New Delhi,"Hauz Khas, New Delhi",Hauz Khas,"Hauz Khas, New Delhi",77.20631209999999,28.539743800000004,Bakery,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,18
Buena Tierra,1,New Delhi,"Shop 4, CSC Market, A Block, New Friends Colony, New Delhi",New Friends Colony,"New Friends Colony, New Delhi",0.0,0.0,Bakery,300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,2
Moonie's Texas Barbecue,216,Gainesville,"5545 Atlanta Highway, Flowery Branch, GA 30542",Flowery Branch,"Flowery Branch, Gainesville",-83.92779399999999,34.180043,"BBQ, Sandwich",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,182
Vedanta's,1,New Delhi,"209-B/3, SS Rathi Complex, BGN Market, Munirka, New Delhi",Munirka,"Munirka, New Delhi",77.1718939,28.556319199999997,"North Indian, Chinese",650,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,66
Uloo,1,New Delhi,"JE 2, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.2155012,28.5354885,"North Indian, Mughlai, Chinese",600,Indian Rupees(Rs.),No,Yes,Yes,No,2,3.2,Orange,Average,134
Shree Rathnam,1,New Delhi,"Shop G-8/9, Plot 32-33, Kusal Bazar, Near Satyam Cinema, Nehru Place, New Delhi",Nehru Place,"Nehru Place, New Delhi",77.2511424,28.549097600000003,"South Indian, North Indian, Chinese",800,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,58
Fuji Japanese Restaurant,1,New Delhi,"M-41/2, Speedbird House, Middle Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22193044,28.63298369,Japanese,2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.0,Green,Very Good,312
