Restaurant_Name,City,Address,Locality,Locality Verbose,lon,lat,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Eat n Joy,New Delhi,"16, Community Center, New Friends Colony, New Delhi","Community Centre, New Friends Colony","Community Centre, New Friends Colony, New Delhi",77.26848709999999,28.561412899999997,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,24
Manish Sweets & Bakers,Gurgaon,"Shop 59, Vyapar Kendra, Palam Vihar, Gurgaon","Vyapar Kendra, Palam Vihar","Vyapar Kendra, Palam Vihar, Gurgaon",77.03139370000001,28.5085989,200,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,5
Tirath Sweets,New Delhi,"Main Road, Main Market, Moti Nagar, New Delhi",Moti Nagar,"Moti Nagar, New Delhi",77.14007109999999,28.6570788,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Bandit Burrito,Des Moines,"5340 Merle Hay Road, Johnston, IA 50131",Johnston,"Johnston, Des Moines",-93.6976773,41.671465399999995,10,Dollar($),No,No,No,No,1,4,Green,Very Good,214
Curry N' Tandoor,Gurgaon,"Shop 41, Huda Market, Sector 46, Near Sector 45, Gurgaon",Sector 45,"Sector 45, Gurgaon",77.05981659999999,28.434507399999998,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,18
Circle Cafe and Bar,New Delhi,"F1, 1st Floor, Kalkaji, New Delhi",Kalkaji,"Kalkaji, New Delhi",77.2528632,28.542268800000002,800,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,30
Milk n More,New Delhi,"2406, Chawri Bazar, New Delhi",Chawri Bazar,"Chawri Bazar, New Delhi",77.23108509999999,28.650565999999998,100,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,6
Yu Turn,Noida,"R-2, Recreation Area, YMCA Complex, Opposite JP Golf Course, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.51812208,28.4719958,1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,2,Orange,Average,43
Patang - The Revolving Restaurant,Ahmedabad,"Chinubhai Tower, Nehru Bridge Corner, Ashram Road, Ahmedabad",Ashram Road,"Ashram Road, Ahmedabad",72.572009,23.0261651,1800,Indian Rupees(Rs.),No,No,No,No,4,3,Yellow,Good,1315
Shake Shack,London,"24 Market Building, The Piazza, Covent Garden, London WC2E 8RD","Tavistock Court, Covent Garden","Tavistock Court, Covent Garden, London",-0.12262,51.511682,30,Pounds(ï¿½ï¿½),No,No,No,No,2,4,Green,Very Good,473
Sardarji Chicken Point,Gurgaon,"C Block, Near Walking Park, Ardee City, Gurgaon",Ardee City,"Ardee City, Gurgaon",77.0754948,28.439451899999998,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
The Street- Curries & Grills,Faridabad,"57, EWA, Charmwood Village, Suraj Kund, Faridabad",Suraj Kund,"Suraj Kund, Faridabad",77.290565,28.489496000000003,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
Gupta Ji Ka Dhaba,New Delhi,"Near Uphaar Cinema, Green Park Extension Market, Green Park, New Delhi",Green Park,"Green Park, New Delhi",77.2058893,28.5583275,300,Indian Rupees(Rs.),No,Yes,No,No,1,2,Orange,Average,49
Massi's Kitchen,New Delhi,"494, Ganesh Nagar 2, Pandav Nagar, New Delhi",Pandav Nagar,"Pandav Nagar, New Delhi",77.2857811,28.6238533,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Majlis Foods,New Delhi,"Urdu Bazaar, Jama Masjid, New Delhi",Jama Masjid,"Jama Masjid, New Delhi",77.2355652,28.649865500000004,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Puran Dhaba,New Delhi,"Shop J-11/11, Sanjay Market, Opposite Nimri Colony, Ashok Vihar Phase 4, Near Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Ashok Vihar Phase 1, New Delhi",77.1724663,28.680298600000004,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Syall Kotian Da Dhaba,New Delhi,"45-46, Banda Bairagi Market, Ramesh Nagar, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.1313127,28.6489309,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,20
The Big Chill Cakery,New Delhi,"Main Market, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.2257861,28.599837400000002,700,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,912
Naivedyam,New Delhi,"25/35, East Patel Nagar, New Delhi",East Patel Nagar,"East Patel Nagar, New Delhi",77.1760203,28.643841100000003,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,359
Cafe Le Rue @ The Landings,Columbus,"2523 Airport Thruway, Columbus, GA 31904",Columbus,"Columbus, Columbus",-84.95591,32.519247,25,Dollar($),No,No,No,No,2,4,Dark Green,Excellent,489
Yellow Dog Eats,Orlando,"1236 Hempel Avenue,Gotha, FL 34786",Windermere,"Windermere, Orlando",-81.522987,28.527592,35,Dollar($),No,No,No,No,3,4,Dark Green,Excellent,1252
Mellow Mushroom,Columbus,"6100 Veterans Pkwy, Columbus, GA 31909",Columbus,"Columbus, Columbus",-84.9557,32.5321,25,Dollar($),No,No,No,No,2,4,Green,Very Good,192
Wok N Spice,Noida,"Shop 157, Jaipuria Plaza, Sector 26, Noida","Jaipuria Plaza, Sector 26, Noida","Jaipuria Plaza, Sector 26, Noida, Noida",77.33489229999999,28.576319199999997,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,21
Veer Jee Restaurant,New Delhi,"H-63, BK Dutt Colony, Jor Bagh Lane, Jor Bagh, New Delhi",Jor Bagh,"Jor Bagh, New Delhi",77.21763119,28.58429443,450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,35
Lala Chaap Corner,New Delhi,"1388, Bazar Guliyan, Jama Masjid, Near Police Station, Chandni Chowk, New Delhi",Chandni Chowk,"Chandni Chowk, New Delhi",77.233113,28.6526767,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Sautï¿½ï¿½ed Stories,Pune,"Plot 5, Between Lane 5/6, North Main Road, Opposite Wellness Forever, Koregaon Park, Pune",Koregaon Park,"Koregaon Park, Pune",73.897902,18.53929933,850,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,583
Babu Bhai Kabab Wale,New Delhi,"1465 B,Near Masjid Sayed Rafai, Chitli Qabar, Jama Masjid, New Delhi",Jama Masjid,"Jama Masjid, New Delhi",77.2339142,28.647296899999997,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,12
Tiffin Man House,Noida,"N 97, Behind Fortis Hospital, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.369567,28.6188035,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Domino's Pizza,New Delhi,"F-14/12 A, Upper Ground Floor, Model Town 2, New Delhi",Model Town 2,"Model Town 2, New Delhi",77.1899876,28.705888899999998,700,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,94
Tmos Moving Feast,Faridabad,"156, Main Market, Sector 17, Faridabad",Sector 17,"Sector 17, Faridabad",77.32609671,28.4101156,700,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,76
Coral - InterContinental Doha,Doha,"Lower Ground Floor, Hotel Intercontinental Doha, Al Isteqlal Road, Westbay, Doha","Hotel Intercontinental Doha, Westbay","Hotel Intercontinental Doha, Westbay, Doha",51.530046,25.348622,500,Qatari Rial(QR),No,No,No,No,4,3,Yellow,Good,58
Bunker,Gurgaon,"Shop 204-206, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4","Cross Point Mall, DLF Phase 4, Gurgaon",77.08311259999999,28.4682267,1300,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,248
Shri Balaji Bhojnalaya,New Delhi,"Main Market, Ghitorni, MG Road, New Delhi",MG Road,"MG Road, New Delhi",77.1443655,28.494567200000002,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
BTW,New Delhi,"1 & 2, Living Style Mall, Main Kalindi Kunj Road, Jasola, New Delhi","Living Style Mall, Jasola","Living Style Mall, Jasola, New Delhi",77.29677020000001,28.541125399999995,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,205
Singh's Ice Cream Parlour,New Delhi,"A-1/28, Mohan Garden, Peepal Road, Opposite Sargam Sweets, Metro Pillar 754, Uttam Nagar, New Delhi",Uttam Nagar,"Uttam Nagar, New Delhi",77.0391763,28.6211282,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,8
Barista,Gurgaon,"Global Busines Park, MG Road, Gurgaon",MG Road,"MG Road, Gurgaon",77.1023726,28.4805404,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,22
Gabbar Meals,Gurgaon,"Shop 18, Metropark Food Court, HUDA City Centre Metro Station, Sector 29, Gurgaon","Huda City Centre Metro Station, Sector 29, Gurgaon","Huda City Centre Metro Station, Sector 29, Gurgaon, Gurgaon",77.0726806,28.459424,450,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,260
Stop My Starvation,New Delhi,"C-10, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.2112209,28.5364043,300,Indian Rupees(Rs.),No,Yes,No,No,1,4,Green,Very Good,126
E Yum,Gurgaon,"Plot H-16/6, MG Road, Gurgaon",MG Road,"MG Road, Gurgaon",77.10031841,28.47773187,750,Indian Rupees(Rs.),No,Yes,Yes,No,2,3,Orange,Average,69
The Grill Darbar,Faridabad,"Shop 87, Near Omaxe Heights, Gate 2, Sector 86, Faridabad",Sector 86,"Sector 86, Faridabad",77.33666,28.408057399999997,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,17
Asian Haus,Gurgaon,"16/6, H Block, DLF Phase 1, Gurgaon",DLF Phase 1,"DLF Phase 1, Gurgaon",77.1003687,28.4778418,1500,Indian Rupees(Rs.),No,Yes,No,No,3,3,Yellow,Good,360
Bawarchi,New Delhi,"1, Local Shopping Complex, Derawala Nagar, Gujranwala Town, New Delhi",Gujranwala Town,"Gujranwala Town, New Delhi",77.192054,28.698922600000003,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,35
Kashmiri Wazwan,New Delhi,"5/2, Double Storey, Bhogal, Jangpura, New Delhi",Jangpura,"Jangpura, New Delhi",77.247005,28.5815244,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Red Mesa Cantina,Tampa Bay,"128 3rd St S, St Petersburg, FL 33701",Downtown St Petersburg,"Downtown St Petersburg, Tampa Bay",-82.636924,27.770026,25,Dollar($),No,No,No,No,2,4,Dark Green,Excellent,1629
Babu Meat Wala,New Delhi,"Ground Floor, MCD Complex, Ashok Nagar, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.1023553,28.637288399999996,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Rustom's Cafe & Bakery,New Delhi,"Khoj International Artists Association, S-17, Khirkee Extension, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.2184409,28.531153200000002,700,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,84
Banspi,New Delhi,"L-25, Vijay Chowk, Laxmi Nagar, New Delhi",Laxmi Nagar,"Laxmi Nagar, New Delhi",77.2787671,28.634047,350,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,13
The Plaza Solitaire,Gurgaon,"30, HUDA Commercial Centre, Delhi Gurgaon Road, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.044168,28.4751457,900,Indian Rupees(Rs.),Yes,No,No,No,2,3,Orange,Average,32
Surprise - Bakers & Bites,New Delhi,"RZD 1/366, Street 5, Mahavir Enclave, Palam, New Delhi",Palam,"Palam, New Delhi",77.0847547,28.596289799999997,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
The Groghead,New Delhi,"A-5, 2nd Floor, Above Hyundai Showroom, Green Park, New Delhi",Green Park,"Green Park, New Delhi",77.2057995,28.555719500000002,1700,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,267
Kairi The Royal Taste,New Delhi,"RZA 6, Dabri Extension, Opposite Dada Dev Hospital, Palam, New Delhi",Palam,"Palam, New Delhi",77.083122,28.609319300000003,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Madras Cafe,New Delhi,"Shop 4, 265 Main Road, Hakikat Nagar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2083401,28.699560499999997,450,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,11
Punjabi Shahi Chicken Soup,New Delhi,"1, D383, Opposite Shree Sai Vidya Mandir, Sabji Mandi, Tagore Garden Extension, New Delhi, Tagore Garden, New Delhi",Tagore Garden,"Tagore Garden, New Delhi",77.11195500000001,28.652585700000003,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Costa Coffee,New Delhi,"3, Ground Floor, Scindia House, Janpath, New Delhi",Janpath,"Janpath, New Delhi",77.21958833,28.629035,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,31
The Drunkyard Cafe,New Delhi,"Shop 1077, Main Bazar, Paharganj, New Delhi",Paharganj,"Paharganj, New Delhi",77.21558299,28.64141166,850,Indian Rupees(Rs.),Yes,No,No,No,2,3,Orange,Average,8
Keventers,New Delhi,"Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi","Palate of Delhi, Chanakyapuri","Palate of Delhi, Chanakyapuri, New Delhi",77.162132,28.592144800000003,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Shristi Happy Eats,Gurgaon,"G-1, Behind Ansal Plaza Mall, Palam Vihar, Gurgaon",Palam Vihar,"Palam Vihar, Gurgaon",77.0410645,28.512086800000002,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Kanshi Ram Chole Kulche Wala,New Delhi,"E-195, Naraina Vihar, Naraina, New Delhi",Naraina,"Naraina, New Delhi",77.1559168,28.624284399999997,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,13
PS Wah Bhai Wah,Noida,"B-1/6, Ground Floor, Near Metro Station, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32570108,28.57088023,700,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,89
DePalma's Italian Cafe - East Side,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,"Athens, Athens",-83.33995,33.924275,25,Dollar($),No,No,No,No,2,4,Green,Very Good,387
Metropolitan Cafe,New Delhi,"A-2/269, Road 2, Near Good Luck Hotel, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",77.1257302,28.5477027,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
Chilli Chinese,New Delhi,"Main Shanti Nagar Road, Tri Nagar, Wazirpur, New Delhi",Wazirpur,"Wazirpur, New Delhi",77.16365970000001,28.6792749,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Pt. Gaya Prasad Shiv Charan Paranthe Wale,New Delhi,"34, Gali Paranthe Wali, Chandni Chowk, New Delhi",Chandni Chowk,"Chandni Chowk, New Delhi",77.2304115,28.6561011,150,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,437
Sai Bhojanalay,New Delhi,"Plot 43, Near D-Park, Pandav Nagar, New Delhi",Pandav Nagar,"Pandav Nagar, New Delhi",77.2847755,28.6185799,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
A Piece of Paris,New Delhi,"Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",0.0,0.0,600,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,38
The Society Cafe,New Delhi,"D-15, South Extension 2, New Delhi",South Extension 2,"South Extension 2, New Delhi",77.2174933,28.568446299999998,800,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,149
La Dolce Vita Ristorante,Athens,"323 E Broad St, Athens, GA 30601",Athens,"Athens, Athens",-83.4075,33.9584,40,Dollar($),No,No,No,No,3,4,Green,Very Good,464
Bimbo Cakes,New Delhi,"Moti Nagar, New Delhi",Moti Nagar,"Moti Nagar, New Delhi",0.0,0.0,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,10
Kwality Sweet Corner,New Delhi,"Clock Tower, Hari Nagar, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.11098390000001,28.6244686,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
Punjab Grill,Dehradun,"Rajpur Road, Jakhan, Dehradun",Jakhan,"Jakhan, Dehradun",78.067079,30.359721999999998,1250,Indian Rupees(Rs.),No,No,No,No,4,4,Green,Very Good,98
Lord of the Drinks Forum,New Delhi,"Lower Basement, Epicuria Food Mall, Nehru Place Metro Station, Nehru Place, New Delhi","Epicuria Food Mall, Nehru Place","Epicuria Food Mall, Nehru Place, New Delhi",77.252055,28.5513364,2500,Indian Rupees(Rs.),Yes,No,No,No,4,4,Green,Very Good,756
Punjabi's Veg Grill,New Delhi,"13/288 , 14 Block Gurudwra, Geeta Colony, New Delhi",Geeta Colony,"Geeta Colony, New Delhi",77.27676890000001,28.650775300000003,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Rocketchefs,Gurgaon,"IOCL Petrol Pump, Ardee City, Gurgaon",Ardee City,"Ardee City, Gurgaon",77.0855313,28.442393300000003,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,4
Remo's Maximilliano,Sandton,"Waterfall Corner Mall, Corner of Maxwell & Woodmead Drives, Woodmead, Sandton","Waterfall Corner Mall, Midrand","Waterfall Corner Mall, Midrand, Sandton",28.089878000000002,-26.021720000000002,360,Rand(R),No,No,No,No,4,3,Yellow,Good,390
Hunger Cure Express,Faridabad,"HUDA Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",77.3217312,28.394693699999998,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,35
Star Restaurant,New Delhi,"Westend Marg, Saidullajab, Sainik Farms, New Delhi",Sainik Farms,"Sainik Farms, New Delhi",77.19856001,28.51784764,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Kolkata Roll Point,Noida,"MSX Tower 1, Alpha 1, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5154068,28.473263199999998,100,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,9
Vinny Vanucchi's,Dubuque,"180 Main Street, Dubuque, IA 52001",Dubuque,"Dubuque, Dubuque",-90.664029,42.495689,25,Dollar($),No,No,No,No,2,3,Orange,Average,58
Mama Bhanja Corner,New Delhi,"Opposite Vijay Corner, Ashok Nagar, Near Metro Station, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.0971707,28.6361765,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
Juice Lounge,Gurgaon,"NM-22, Ground Floor, Old DLF, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.0445066,28.469413899999996,350,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,25
The Bridge - Hotel Clark Inn Gurgaon,Gurgaon,"Hotel Clark Inn, Plot 45/46, Old Judicial Complex, Sector 15, Gurgaon","Hotel Clark Inn, Sector 15","Hotel Clark Inn, Sector 15, Gurgaon",77.033939,28.4576098,1400,Indian Rupees(Rs.),Yes,No,No,No,3,2,Orange,Average,7
Bernardo's,Gurgaon,"A-237, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon",77.087339,28.462625899999995,2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,4,Green,Very Good,429
Al Bake,New Delhi,"Shop 7, 57, Manjusha Building, Nehru Place, New Delhi",Nehru Place,"Nehru Place, New Delhi",77.252055,28.548915899999997,400,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,38
D-Food,New Delhi,"Shop 3, Plot 1161, Opposite Old Sabji Mandi, Kanjhawala Road Bawana, Narela, New Delhi",Narela,"Narela, New Delhi",77.04952508,28.80619877,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
Tippling Street,New Delhi,"A-12, Vishal Enclave, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.11992847,28.64820949,1000,Indian Rupees(Rs.),No,No,No,No,3,4,Green,Very Good,91
Zaika Chicken Corner,New Delhi,"B 1363, East End Apartments, Main Road, New Ashok Nagar, Vasundhara Enclave, New Delhi",Vasundhara Enclave,"Vasundhara Enclave, New Delhi",77.3080954,28.58927604,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Lassi Cafe,Gurgaon,"Main Baliawas, Sector 56, Gurgaon",Sector 56,"Sector 56, Gurgaon",77.14200009999999,28.429125,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Bhutani Chaap,New Delhi,"Shop 1, Ambawata Complex, Gurudwara Road, Mehrauli, New Delhi",Mehrauli,"Mehrauli, New Delhi",77.1818486,28.522229600000003,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Chapala,Waterloo,"900 La Porte Road, Waterloo, IA 50702",Waterloo,"Waterloo, Waterloo",-92.323032,42.477281,25,Dollar($),No,No,No,No,2,3,Yellow,Good,69
The Urban Terrace,Lucknow,"Hotel Lineage, C 73, Viraj Khand, Opposite Sahara Hospital, Gomti Nagar, Lucknow",Gomti Nagar,"Gomti Nagar, Lucknow",81.02324959999999,26.8517588,1100,Indian Rupees(Rs.),No,No,No,No,3,3,Yellow,Good,268
Sardar Pure Meat Shop,New Delhi,"GG 1/ 143 A, PVR Road, Vikaspuri, New Delhi",Vikaspuri,"Vikaspuri, New Delhi",77.0765052,28.638646,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,9
Kings Kulfi,New Delhi,"Ground Floor, DLF City Centre Mall, Shalimar Bagh, New Delhi","DLF City Centre Mall, Shalimar Bagh","DLF City Centre Mall, Shalimar Bagh, New Delhi",77.1582677,28.702936100000002,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,14
Veg. Darbar,New Delhi,"Near Metro Pillar 682, Uttam Nagar West, Uttam Nagar, New Delhi",Uttam Nagar,"Uttam Nagar, New Delhi",77.0570523,28.621883899999997,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Starbucks,New Delhi,"Block A, Hamilton House, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.21770190000001,28.6321771,700,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,2417
Funk House Cafe,Faridabad,"Plot 2347, Near Sector 28 Metro Station, Sector 28, Faridabad",Sector 28,"Sector 28, Faridabad",77.31297973,28.43892133,650,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,15
Los Agaves,Davenport,"4882 Utica Ridge Rd, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.5154313,41.5709434,25,Dollar($),No,No,No,No,2,0,White,Not rated,3
Tongue Thai'd,New Delhi,"C-12, Ground Floor, Lajpat Nagar 2, New Delhi",Lajpat Nagar 2,"Lajpat Nagar 2, New Delhi",77.2393235,28.571054800000002,1000,Indian Rupees(Rs.),No,Yes,No,No,3,3,Yellow,Good,57
Cafe Shaze,Colombo,"65, Thimbirigasaya Road, Havelock Town, Colombo 05","Havelock Town, Colombo 05","Havelock Town, Colombo 05, Colombo",79.86563889,6.890905556,3500,Sri Lankan Rupee(LKR),No,No,No,No,3,3,Yellow,Good,81
Inam Muradabadi,New Delhi,"G-90, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2187785,28.708982199999998,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Wenger's,New Delhi,"A-16, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.21833259999998,28.633367600000003,400,Indian Rupees(Rs.),No,No,No,No,1,4,Green,Very Good,3591
Bodensee,Gainesville,"64 Munich Strasse, Helen, GA 30545",Helen,"Helen, Gainesville",-83.72774100000001,34.701594,40,Dollar($),No,No,No,No,3,3,Yellow,Good,114
Somang House Restaurant,New Delhi,"4, Somang Complex, New Aruna Nagar, Majnu ka Tila, New Delhi",Majnu ka Tila,"Majnu ka Tila, New Delhi",77.2278966,28.700827500000003,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
Cook & Connect,New Delhi,"C 118, Palam Dabri Road, Palam, New Delhi",Palam,"Palam, New Delhi",77.08176529999999,28.607627500000003,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
D ART of Flavour,Faridabad,"H-250, B/10, 60 Feet Road, Pul Prahladpur, Suraj Kund, Faridabad",Suraj Kund,"Suraj Kund, Faridabad",77.2937593,28.4982147,500,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,13
Open Hand Shop & Cafe,Varanasi,"B1/128-3, Dumraun Bagh Colony, Assi Ghat, Varanasi",Assi Ghat,"Assi Ghat, Varanasi",83.004504,25.287958,450,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,59
Le ROFL,New Delhi,"Shop 113, Shahpur Jat, New Delhi",Shahpur Jat,"Shahpur Jat, New Delhi",77.2149622,28.5492425,1200,Indian Rupees(Rs.),Yes,Yes,No,No,3,3,Yellow,Good,177
Food Bell,Noida,"Shersingh Market, Naga Bans, Sector 15, Noida",Sector 15,"Sector 15, Noida",77.31410140000001,28.581442600000003,400,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,6
Pind Balluchi,New Delhi,"4-B/16, Najafgarh Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",77.01175190000001,28.617963899999996,800,Indian Rupees(Rs.),Yes,No,No,No,2,0,White,Not rated,0
Cafï¿½ï¿½ Daniel Briand,Brasï¿½_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasï¿½_lia",Asa Norte,"Asa Norte, Brasï¿½_lia",-47.88266667,-15.7775,30,Brazilian Real(R$),No,No,No,No,1,3,Yellow,Good,9
Shudh Vaishno Hotel,New Delhi,"T 32-34, Super Market, Near Milan Cinema, New Moti Nagar, Karampura, New Delhi",Karampura,"Karampura, New Delhi",77.14636557,28.66223077,450,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,44
Sarfira,Noida,"B Block Market, Sector 15, Noida",Sector 15,"Sector 15, Noida",0.0,0.0,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Grill Inn,Noida,"G-4, Tradex Tower- 2, Alpha Commercial Market, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5146578,28.472511400000002,300,Indian Rupees(Rs.),No,Yes,No,No,1,0,White,Not rated,3
Janki Vaishno Dhaba,New Delhi,"WZ 714, Tihar Village, Near Tilak Nagar Market, Government Girls Convent School, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.1050287,28.6375598,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,4
Sweetcake.in,Noida,"D-44, Sector 7, Noida",Sector 7,"Sector 7, Noida",0.0,0.0,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
